2017/09/03 21:07:53:306  This is verbose
2017/09/03 21:12:04:628  This is verbose msg.
2017/09/03 21:12:04:628  This is debug msg.
2017/09/03 21:12:04:628  This is info msg.
2017/09/03 21:12:04:628  This is warn msg.
2017/09/03 21:12:04:628  This is error msg.
2017/09/03 21:41:28:371  This is verbose msg.
2017/09/03 21:41:28:371  This is debug msg.
2017/09/03 21:41:28:371  This is info msg.
2017/09/03 21:41:28:371  This is warn msg.
2017/09/03 21:41:28:371  This is error msg.
2017/09/03 22:01:38:885  This is verbose msg.
2017/09/03 22:01:38:886  This is debug msg.
2017/09/03 22:01:38:886  This is info msg.
2017/09/03 22:01:38:886  This is warn msg.
2017/09/03 22:01:38:886  This is error msg.
